velocidad_original_ms-1,velocidad_potencia_ms-1,potencia_kW,velocidad_coeficiente_empuje_ms-1,coeficiente_empuje
1.0,1.02,0.0,1.01,0.0
2.0,2.04,3.6,2.01,1.0
3.0,3.05,29.9,3.02,0.95
4.0,4.07,98.2,4.03,0.88
5.0,5.09,208.3,5.03,0.87
6.0,6.11,384.3,6.04,0.87
7.0,7.12,637.0,7.05,0.87
8.0,8.14,975.8,8.05,0.83
9.0,9.16,1403.6,9.06,0.77
10.0,10.21,1817.8,10.09,0.71
11.0,11.27,2088.7,11.12,0.67
12.0,12.34,2237.0,12.16,0.5
13.0,13.42,2300.0,13.2,0.37
14.0,14.5,2350.0,14.25,0.29
15.0,15.54,2350.0,15.27,0.23
16.0,16.57,2350.0,16.28,0.19
17.0,17.61,2350.0,17.3,0.16
18.0,18.64,2350.0,18.32,0.13
19.0,19.68,2350.0,19.34,0.11
20.0,20.72,2350.0,20.35,0.1
21.0,21.75,2350.0,21.37,0.09
22.0,22.79,2350.0,22.39,0.08
23.0,23.82,2350.0,23.41,0.07
24.0,24.86,2350.0,24.43,0.06
25.0,25.0,2350.0,25.0,0.06
